Name,Country,Political Group,National Party,Role,Profile URL
Mounir SATOURI,France,Group of the Greens/European Free Alliance,Les Écologistes (France),Chair,https://www.europarl.europa.eu/meps/en/197500/MOUNIR_SATOURI/home
Marta TEMIDO,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista (Portugal),Vice-Chair,https://www.europarl.europa.eu/meps/en/210480/MARTA_TEMIDO/home
Łukasz KOHUT,Poland,Group of the European People's Party (Christian Democrats),Independent (Poland),Vice-Chair,https://www.europarl.europa.eu/meps/en/197523/LUKASZ_KOHUT/home
Isabel SERRA SÁNCHEZ,Spain,The Left group in the European Parliament - GUE/NGL,PODEMOS (Spain),Vice-Chair,https://www.europarl.europa.eu/meps/en/257009/ISABEL_SERRA+SANCHEZ/home
Arkadiusz MULARCZYK,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość (Poland),Vice-Chair,https://www.europarl.europa.eu/meps/en/257060/ARKADIUSZ_MULARCZYK/home
Francisco ASSIS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista (Portugal),Member,https://www.europarl.europa.eu/meps/en/28307/FRANCISCO_ASSIS/home
Petras AUŠTREVIČIUS,Lithuania,Renew Europe Group,Liberalų sąjūdis (Lithuania),Member,https://www.europarl.europa.eu/meps/en/124766/PETRAS_AUSTREVICIUS/home
Robert BIEDROŃ,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Nowa Lewica (Poland),Member,https://www.europarl.europa.eu/meps/en/197498/ROBERT_BIEDRON/home
Ľuboš BLAHA,Slovakia,Non-attached Members,SMER-Sociálna demokracia (Slovakia),Member,https://www.europarl.europa.eu/meps/en/257005/LUBOS_BLAHA/home
Emmanouil FRAGKOS,Greece,European Conservatives and Reformists Group,Elliniki Lusi-Greek Solution (Greece),Member,https://www.europarl.europa.eu/meps/en/198490/EMMANOUIL_FRAGKOS/home
Tomasz FROELICH,Germany,Europe of Sovereign Nations Group,Alternative für Deutschland (Germany),Member,https://www.europarl.europa.eu/meps/en/190574/TOMASZ_FROELICH/home
Małgorzata GOSIEWSKA,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość (Poland),Member,https://www.europarl.europa.eu/meps/en/257055/MALGORZATA_GOSIEWSKA/home
Bernard GUETTA,France,Renew Europe Group,Sans parti (France),Member,https://www.europarl.europa.eu/meps/en/197543/BERNARD_GUETTA/home
Rima HASSAN,France,The Left group in the European Parliament - GUE/NGL,La France Insoumise (France),Member,https://www.europarl.europa.eu/meps/en/256912/RIMA_HASSAN/home
Mircea-Gheorghe HAVA,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal (Romania),Member,https://www.europarl.europa.eu/meps/en/197646/MIRCEA-GHEORGHE_HAVA/home
Rasa JUKNEVIČIENĖ,Lithuania,Group of the European People's Party (Christian Democrats),Tėvynės sąjunga-Lietuvos krikščionys demokratai (Lithuania),Member,https://www.europarl.europa.eu/meps/en/197840/RASA_JUKNEVICIENE/home
Ondřej KOLÁŘ,Czechia,Group of the European People's Party (Christian Democrats),TOP 09 (Czechia),Member,https://www.europarl.europa.eu/meps/en/256846/ONDREJ_KOLAR/home
