Name,Country,Political Group,National Party,Role,Profile URL,Sanctions Match,Match Name,Match Score
Mounir SATOURI,France,Group of the Greens/European Free Alliance,Les Écologistes (France),Chair,YES,Mounir Satouri,1.0,
Marta TEMIDO,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista (Portugal),Vice-Chair,YES,Marta Temido,1.0,
Łukasz KOHUT,Poland,Group of the European People's Party (Christian Democrats),Independent (Poland),Vice-Chair,YES,Łukasz Kohut,1.0,
Isabel SERRA SÁNCHEZ,Spain,The Left group in the European Parliament - GUE/NGL,PODEMOS (Spain),Vice-Chair,YES,Isabel Serra,1.0,
Arkadiusz MULARCZYK,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość (Poland),Vice-Chair,YES,Arkadiusz Mularczyk,1.0,
Francisco ASSIS,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista (Portugal),Member,YES,Francisco Assis,1.0,
Petras AUŠTREVIČIUS,Lithuania,Renew Europe Group,Liberalų sąjūdis (Lithuania),Member,YES,Petras Auštrevičius,1.0,
Robert BIEDROŃ,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Nowa Lewica (Poland),Member,YES,Robert Biedroń,1.0,
Ľuboš BLAHA,Slovakia,Non-attached Members,SMER-Sociálna demokracia (Slovakia),Member,YES,Luboš Blaha,1.0,
Emmanouil FRAGKOS,Greece,European Conservatives and Reformists Group,Elliniki Lusi-Greek Solution (Greece),Member,YES,Emmanouíl Fragkos,1.0,
Tomasz FROELICH,Germany,Europe of Sovereign Nations Group,Alternative für Deutschland (Germany),Member,YES,Tomasz Froelich,1.0,
Małgorzata GOSIEWSKA,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość (Poland),Member,YES,Małgorzata Gosiewska,1.0,
Bernard GUETTA,France,Renew Europe Group,Sans parti (France),Member,YES,Bernard Guetta,1.0,
Rima HASSAN,France,The Left group in the European Parliament - GUE/NGL,La France Insoumise (France),Member,YES,Rima Hassan,1.0,
Mircea-Gheorghe HAVA,Romania,Group of the European People's Party (Christian Democrats),Partidul Naţional Liberal (Romania),Member,YES,Mircea Hava,1.0,
Rasa JUKNEVIČIENĖ,Lithuania,Group of the European People's Party (Christian Democrats),Tėvynės sąjunga-Lietuvos krikščionys demokratai (Lithuania),Member,YES,Rasa Juknevičienė,1.0,
Ondřej KOLÁŘ,Czechia,Group of the European People's Party (Christian Democrats),TOP 09 (Czechia),Member,YES,Ondřej Kolář,1.0,
András LÁSZLÓ,Hungary,Patriots for Europe Group,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt (Hungary),Member,YES,Andras Laszlo,1.0,
Reinhold LOPATKA,Austria,Group of the European People's Party (Christian Democrats),Österreichische Volkspartei (Austria),Member,YES,Reinhold Lopatka,1.0,
Antonio LÓPEZ-ISTÚRIZ WHITE,Spain,Group of the European People's Party (Christian Democrats),Partido Popular (Spain),Member,YES,Antonio López-Istúriz White,1.0,
Jorge MARTÍN FRÍAS,Spain,Patriots for Europe Group,VOX (Spain),Member,YES,Jorge Martín Frías,1.0,
Liudas MAŽYLIS,Lithuania,Group of the European People's Party (Christian Democrats),Tėvynės sąjunga-Lietuvos krikščionys demokratai (Lithuania),Member,YES,Liudas Mažylis,1.0,
Urmas PAET,Estonia,Renew Europe Group,Eesti Reformierakond (Estonia),Member,YES,Urmas Paet,1.0,
Chloé RIDEL,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti socialiste (France),Member,YES,Chloé Ridel,1.0,
Nacho SÁNCHEZ AMOR,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español (Spain),Member,YES,Nacho Sánchez Amor,1.0,
Silvia SARDONE,Italy,Patriots for Europe Group,Lega (Italy),Member,YES,Silvia Sardone,1.0,
Marco TARQUINIO,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partito Democratico (Italy),Member,YES,Marco Tarquinio,1.0,
Matthieu VALET,France,Patriots for Europe Group,Rassemblement national (France),Member,YES,Matthieu Valet,1.0,
Catarina VIEIRA,Netherlands,Group of the Greens/European Free Alliance,GroenLinks-PvdA (Netherlands),Member,YES,Catarina Vieira,1.0,
Isabel WISELER-LIMA,Luxembourg,Group of the European People's Party (Christian Democrats),Parti chrétien social luxembourgeois (Luxembourg),Member,YES,Isabel Wiseler-Santos Lima,1.0,
Barry ANDREWS,Ireland,Renew Europe Group,Fianna Fáil Party (Ireland),Member,YES,Barry Andrews,1.0,
Mieke ANDRIESE,Netherlands,Patriots for Europe Group,Partij voor de Vrijheid (Netherlands),Member,YES,Mieke Andriese,1.0,
Jaume ASENS LLODRÀ,Spain,Group of the Greens/European Free Alliance,Comuns (Spain),Member,YES,Jaume Asens Llodrà,1.0,
Sebastião BUGALHO,Portugal,Group of the European People's Party (Christian Democrats),Partido Social Democrata (Portugal),Member,YES,Sebastião Bugalho,1.0,
Danilo DELLA VALLE,Italy,The Left group in the European Parliament - GUE/NGL,Movimento 5 Stelle (Italy),Member,YES,Danilo Della Valle,1.0,
Ruth FIRMENICH,Germany,Non-attached Members,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit (Germany),Member,YES,Ruth Firmenich,1.0,
Sandra GÓMEZ LÓPEZ,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español (Spain),Member,YES,Sandra Gómez López,1.0,
Hana JALLOUL MURO,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español (Spain),Member,YES,Hana Jalloul Muro,1.0,
Marc JONGEN,Germany,Europe of Sovereign Nations Group,Alternative für Deutschland (Germany),Member,YES,Marc Jongen,1.0,
Mariusz KAMIŃSKI,Poland,European Conservatives and Reformists Group,Prawo i Sprawiedliwość (Poland),Member,YES,Mariusz Antoni Kamiński,1.0,
Thierry MARIANI,France,Patriots for Europe Group,Rassemblement national (France),Member,YES,Thierry Mariani,1.0,
Tiago MOREIRA DE SÁ,Portugal,Patriots for Europe Group,Chega (Portugal),Member,YES,Tiago Moreira de Sá,1.0,
